data_index_,solar_prediction_mw,wind_prediction_mw,load_actuals_mw,dayofweek,total_gen
2020-01-01 00:00:00+00:00,1063.7509934559394,2824.061317921755,8931.046099501433,2,3887.812311377694
2020-01-02 00:00:00+00:00,303.6843587118617,10136.241267767393,10287.299968176514,3,10439.925626479255
2020-01-03 00:00:00+00:00,115.01384800461334,13401.7887247516,10396.662102471624,4,13516.802572756213
2020-01-04 00:00:00+00:00,670.1025692375991,9741.165035245029,9893.106810225947,5,10411.267604482628
2020-01-05 00:00:00+00:00,646.241472116167,4266.122361891114,9818.553866553517,6,4912.363834007281
2020-01-06 00:00:00+00:00,1066.4588157977091,9792.939403837441,11069.136081468123,0,10859.39821963515
2020-01-07 00:00:00+00:00,630.8285151184658,11213.453696776844,11374.71843004137,1,11844.28221189531
2020-01-08 00:00:00+00:00,129.04878888402078,8278.716269611303,11425.25371167922,2,8407.765058495324
2020-01-09 00:00:00+00:00,166.15681917756774,15269.252399717618,11129.58582369789,3,15435.409218895185
2020-01-10 00:00:00+00:00,587.747230393691,7132.921570590157,11215.660428556275,4,7720.668800983848
2020-01-11 00:00:00+00:00,859.7945484133442,13061.397605023865,10120.263850641773,5,13921.192153437209
2020-01-12 00:00:00+00:00,257.87851286223946,14927.816177942617,9690.988189243662,6,15185.694690804858
2020-01-13 00:00:00+00:00,826.9856668961633,13851.97877922598,10942.643854884906,0,14678.964446122143
2020-01-14 00:00:00+00:00,117.2779620704763,19287.826503840603,11078.52274318447,1,19405.104465911078
2020-01-15 00:00:00+00:00,518.0493834887651,16521.570458448798,11096.111602842897,2,17039.61984193756
2020-01-16 00:00:00+00:00,1105.2880703511298,13213.123109991886,11077.796181181711,3,14318.411180343015
2020-01-17 00:00:00+00:00,300.14630406208926,12318.008023644199,11107.768513843217,4,12618.154327706288
2020-01-18 00:00:00+00:00,963.4200726043688,8563.21188110466,10320.491030020155,5,9526.63195370903
2020-01-19 00:00:00+00:00,1260.6794141578519,8655.950035297712,10065.886175877798,6,9916.629449455564
2020-01-20 00:00:00+00:00,1120.4465794579708,650.8746720473727,11812.485399384746,0,1771.3212515053433
2020-01-21 00:00:00+00:00,1403.7131501533454,849.6956230836503,12123.739367773416,1,2253.408773236996
2020-01-22 00:00:00+00:00,428.78911870624694,512.4029312906318,12285.3410395672,2,941.1920499968787
2020-01-23 00:00:00+00:00,850.5173060736944,826.266107874024,12074.253841094729,3,1676.7834139477184
2020-01-24 00:00:00+00:00,790.6365400262878,530.0722022611609,12147.816431526466,4,1320.7087422874488
2020-01-25 00:00:00+00:00,507.92919109017515,1643.3956399422593,11011.856378487324,5,2151.3248310324343
2020-01-26 00:00:00+00:00,1079.6731238655568,11055.148066001453,9965.713563169618,6,12134.82118986701
2020-01-27 00:00:00+00:00,559.6130374913938,12852.203341165561,11201.405747321523,0,13411.816378656955
2020-01-28 00:00:00+00:00,1292.7489516179508,16262.840201460376,11105.437889042114,1,17555.589153078326
2020-01-29 00:00:00+00:00,1480.432809663892,15605.091036488351,11298.822185212686,2,17085.523846152242
2020-01-30 00:00:00+00:00,443.5673155160543,15806.252436595825,11104.525331494644,3,16249.81975211188
2020-01-31 00:00:00+00:00,351.0319521812605,16009.38352808539,10624.083042325236,4,16360.415480266649
2020-02-01 00:00:00+00:00,517.3961006446767,16864.842688105196,9435.905632756974,5,17382.238788749873
2020-02-02 00:00:00+00:00,256.376353508168,13576.1199121245,9442.005507584598,6,13832.496265632668
2020-02-03 00:00:00+00:00,567.2724854478313,14351.611314233935,10819.5901113822,0,14918.883799681766
2020-02-04 00:00:00+00:00,683.602444057653,14216.558710105683,11111.174104168877,1,14900.161154163336
2020-02-05 00:00:00+00:00,1700.8746948738813,1083.4138946547673,11667.211301580566,2,2784.2885895286486
2020-02-06 00:00:00+00:00,1656.0407147774924,556.9215126386885,11601.883152646653,3,2212.962227416181
2020-02-07 00:00:00+00:00,2640.5418726919947,8730.283988536146,11135.552937307733,4,11370.82586122814
2020-02-08 00:00:00+00:00,521.8126056205796,10670.087559400255,10022.377933594993,5,11191.900165020836
2020-02-09 00:00:00+00:00,384.65841522188146,15932.446368550265,9313.877623846398,6,16317.104783772147
2020-02-10 00:00:00+00:00,1412.8278149840394,19679.727917856428,10388.772926699905,0,21092.55573284047
2020-02-11 00:00:00+00:00,2193.5986105025972,19086.0730768015,10852.081661185955,1,21279.671687304097
2020-02-12 00:00:00+00:00,1995.5248169243287,15431.955756688127,11012.265049326403,2,17427.480573612454
2020-02-13 00:00:00+00:00,762.7035738335992,16405.772888195814,11053.761315370744,3,17168.47646202941
2020-02-14 00:00:00+00:00,1579.7037143513119,10106.468700938814,10931.304835048266,4,11686.172415290126
2020-02-15 00:00:00+00:00,985.4634787507041,17503.074720515873,9756.606854778827,5,18488.53819926658
2020-02-16 00:00:00+00:00,488.8276898040934,18428.33971677537,9179.456728545667,6,18917.16740657946
2020-02-17 00:00:00+00:00,1936.3538211178568,17654.773225367993,10440.391505250875,0,19591.12704648585
2020-02-18 00:00:00+00:00,1572.3813920010014,17561.16053083545,10666.728174392701,1,19133.541922836448
2020-02-19 00:00:00+00:00,2035.0816799148777,14293.903505536999,10906.693588628408,2,16328.985185451877
2020-02-20 00:00:00+00:00,830.5220003755398,17252.852134194527,10816.278763127188,3,18083.374134570066
2020-02-21 00:00:00+00:00,1670.5567375951466,15730.089719409527,10794.408218945582,4,17400.646457004674
2020-02-22 00:00:00+00:00,482.63519434186645,18749.70036456742,9680.13617693858,5,19232.335558909286
